Date,Open,High,Low,Close,Volume,MarketCap,UsdPrice,AtoRate,AudPrice
23/02/2018,9937.07,10487.30,9734.56,10301.10,7739500000.00,167746000000.00,10301.1,0.8202,12559.25384
22/02/2018,10660.40,11039.10,9939.09,10005.00,8040080000.00,179936000000.00,10005,0.8177,12235.53871
21/02/2018,11372.20,11418.50,10479.10,10690.40,9405340000.00,191927000000.00,10690.4,0.8235,12981.66363
20/02/2018,11231.80,11958.50,11231.80,11403.70,9926540000.00,189536000000.00,11403.7,0.827,13789.23821
19/02/2018,10552.60,11273.80,10513.20,11225.30,7652090000.00,178055000000.00,11225.3,0.826,13589.95157
18/02/2018,11123.40,11349.80,10326.00,10551.80,8744010000.00,187663000000.00,10551.8,0.8291,12726.81221
17/02/2018,10207.50,11139.50,10149.40,11112.70,8660880000.00,172191000000.00,11112.7,0.8291,13403.32891
16/02/2018,10135.70,10324.10,9824.82,10233.90,7296160000.00,170960000000.00,10233.9,0.8291,12343.38439
15/02/2018,9488.32,10234.80,9395.58,10166.40,9062540000.00,160025000000.00,10166.4,0.8269,12294.59427
14/02/2018,8599.92,9518.54,8599.92,9494.63,7909820000.00,145023000000.00,9494.63,0.8214,11559.08206
13/02/2018,8926.72,8958.47,8455.41,8598.31,5696720000.00,150516000000.00,8598.31,0.8199,10487.02281
12/02/2018,8141.43,8985.92,8141.43,8926.57,6256440000.00,137258000000.00,8926.57,0.8143,10962.26207
11/02/2018,8616.13,8616.13,7931.10,8129.97,6122190000.00,145245000000.00,8129.97,0.8156,9968.084846
10/02/2018,8720.08,9122.55,8295.47,8621.90,7780960000.00,146981000000.00,8621.9,0.8156,10571.2359
9/02/2018,8271.84,8736.98,7884.71,8736.98,6784820000.00,139412000000.00,8736.98,0.8156,10712.33448
8/02/2018,7637.86,8558.77,7637.86,8265.59,9346750000.00,128714000000.00,8265.59,0.8183,10100.92875
7/02/2018,7755.49,8509.11,7236.79,7621.30,9169280000.00,130683000000.00,7621.3,0.8243,9245.784302
6/02/2018,7051.75,7850.70,6048.26,7754.00,13999800000.00,118810000000.00,7754,0.8257,9390.81991
5/02/2018,8270.54,8364.84,6756.68,6955.27,9285290000.00,139325000000.00,6955.27,0.828,8400.084541
4/02/2018,9175.70,9334.87,8031.22,8277.01,7073550000.00,154553000000.00,8277.01,0.8392,9862.976644
3/02/2018,8852.12,9430.75,8251.63,9174.91,7263790000.00,149085000000.00,9174.91,0.8392,10932.92421
2/02/2018,9142.28,9142.28,7796.49,8830.75,12726900000.00,153953000000.00,8830.75,0.8392,10522.81935
1/02/2018,10237.30,10288.80,8812.28,9170.54,9959400000.00,172372000000.00,9170.54,0.8405,10910.81499
31/01/2018,10108.20,10381.60,9777.42,10221.10,8041160000.00,170183000000.00,10221.1,0.8442,12107.439
30/01/2018,11306.80,11307.20,10036.20,10106.30,8637860000.00,190339000000.00,10106.3,0.8477,11922.0243
29/01/2018,11755.50,11875.60,11179.20,11296.40,7107360000.00,197871000000.00,11296.4,0.8464,13346.40832
28/01/2018,11475.30,12040.30,11475.30,11786.30,8350360000.00,193133000000.00,11786.3,0.8437,13969.77599
27/01/2018,11174.90,11614.90,10989.20,11440.70,7583270000.00,188054000000.00,11440.7,0.8437,13560.15171
26/01/2018,11256.00,11656.70,10470.30,11171.40,9746200000.00,189398000000.00,11171.4,0.8437,13240.96243
25/01/2018,11421.70,11785.70,11057.40,11259.40,8873170000.00,192163000000.00,11259.4,0.8437,13345.2649
24/01/2018,10903.40,11501.40,10639.80,11359.40,9940990000.00,183419000000.00,11359.4,0.8356,13594.30349
23/01/2018,10944.50,11377.60,10129.70,10868.40,9660610000.00,184087000000.00,10868.4,0.837,12984.94624
22/01/2018,11633.10,11966.40,10240.20,10931.40,10537400000.00,195645000000.00,10931.4,0.8354,13085.22863
21/01/2018,12889.20,12895.90,11288.20,11600.10,9935180000.00,216740000000.00,11600.1,0.8358,13879.03805
20/01/2018,11656.20,13103.00,11656.20,12899.20,11801700000.00,195979000000.00,12899.2,0.8358,15433.35726
19/01/2018,11429.80,11992.80,11172.10,11607.40,10740400000.00,192150000000.00,11607.4,0.8358,13887.77219
18/01/2018,11198.80,12107.30,10942.50,11474.90,15020400000.00,188242000000.00,11474.9,0.8367,13714.47353
17/01/2018,11431.10,11678.00,9402.29,11188.60,18830600000.00,192123000000.00,11188.6,0.8319,13449.45306
16/01/2018,13836.10,13843.10,10194.90,11490.50,18853800000.00,232517000000.00,11490.5,0.8335,13785.84283
15/01/2018,13767.30,14445.50,13641.70,13819.80,12750800000.00,231334000000.00,13819.8,0.8271,16708.74139
14/01/2018,14370.80,14511.80,13268.00,13772.00,11084100000.00,241447000000.00,13772,0.8251,16691.31014
13/01/2018,13952.40,14659.50,13952.40,14360.20,12763600000.00,234391000000.00,14360.2,0.8251,17404.19343
12/01/2018,13453.90,14229.90,13158.10,13980.60,12065700000.00,225986000000.00,13980.6,0.8251,16944.12798
11/01/2018,14968.20,15018.80,13105.90,13405.80,16534100000.00,251387000000.00,13405.8,0.8196,16356.51537
10/01/2018,14588.50,14973.30,13691.20,14973.30,18500800000.00,244981000000.00,14973.3,0.8182,18300.29333
9/01/2018,15123.70,15497.50,14424.00,14595.40,16660000000.00,253935000000.00,14595.4,0.8199,17801.4392
8/01/2018,16476.20,16537.90,14208.20,15170.10,18413900000.00,276612000000.00,15170.1,0.8224,18446.13327
7/01/2018,17527.30,17579.60,16087.70,16477.60,15866000000.00,294222000000.00,16477.6,0.8223,20038.4288
6/01/2018,17462.10,17712.40,16764.60,17527.00,18314600000.00,293091000000.00,17527,0.8223,21314.60538
5/01/2018,15477.20,17705.20,15202.80,17429.50,23840900000.00,259748000000.00,17429.5,0.8223,21196.03551
4/01/2018,15270.70,15739.70,14522.20,15599.20,21783200000.00,256250000000.00,15599.2,0.8198,19028.05562
3/01/2018,14978.20,15572.80,14844.50,15201.00,16871900000.00,251312000000.00,15201,0.8189,18562.70607
2/01/2018,13625.00,15444.60,13163.60,14982.10,16846600000.00,228579000000.00,14982.1,0.8181,18313.28688
1/01/2018,14112.20,14112.20,13154.70,13657.20,10291200000.00,236725000000.00,13657.2,0.8181,16693.80271
31/12/2017,12897.70,14377.40,12755.60,14156.40,12136300000.00,216326000000.00,14156.4,0.8155,17359.16616
30/12/2017,14681.90,14681.90,12350.10,12952.20,14452600000.00,246224000000.00,12952.2,0.8155,15882.52606
29/12/2017,14695.80,15279.00,14307.00,14656.20,13025500000.00,246428000000.00,14656.2,0.8155,17972.04169
28/12/2017,15864.10,15888.40,13937.30,14606.50,12336500000.00,265988000000.00,14606.5,0.8133,17959.54752
27/12/2017,16163.50,16930.90,15114.30,15838.50,12487600000.00,270976000000.00,15838.5,0.8086,19587.55874
26/12/2017,14036.60,16461.20,14028.90,16099.80,13454300000.00,235294000000.00,16099.8,0.8062,19969.98263
25/12/2017,13995.90,14593.00,13448.90,14026.60,10664700000.00,234590000000.00,14026.6,0.8062,17398.4123
24/12/2017,14608.20,14626.00,12747.70,13925.80,11572300000.00,244824000000.00,13925.8,0.8062,17273.38129
23/12/2017,13948.70,15603.20,13828.80,14699.20,13086000000.00,233748000000.00,14699.2,0.8062,18232.6966
22/12/2017,15898.00,15943.40,11833.00,13831.80,22198000000.00,266381000000.00,13831.8,0.8062,17156.78492
21/12/2017,16642.40,17567.70,15342.70,15802.90,16516600000.00,278827000000.00,15802.9,0.8024,19694.54138
20/12/2017,17760.30,17934.70,16077.70,16624.60,22149700000.00,297526000000.00,16624.6,0.8021,20726.34335
19/12/2017,19118.30,19177.80,17275.40,17776.70,16894500000.00,320242000000.00,17776.7,0.8024,22154.41176
18/12/2017,19106.40,19371.00,18355.90,19114.20,14839500000.00,320000000000.00,19114.2,0.8015,23848.03493
17/12/2017,19475.80,20089.00,18974.10,19140.80,13314600000.00,326141000000.00,19140.8,0.8032,23830.67729
16/12/2017,17760.30,19716.70,17515.30,19497.40,12740600000.00,297376000000.00,19497.4,0.8032,24274.65139
